ID Tema,Nome Tema,Link Tema,ID Serviço,Nome Serviço,Link Serviço
585,Eventos,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=585,,,
587,Fiscalização de infrações de trânsito,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=587,,,
597,População ou pessoa em situação de rua,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=597,,,
591,Placas com nome de rua,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=591,,,
592,Polo gerador de tráfego,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=592,,,
599,Imigrante,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=599,,,
593,Zona Azul,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=593,,,
598,Jovem,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=598,,,
600,Pessoa idosa,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=600,,,
595,Acesso à informação,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=595,,,
596,Cidadania e assistência social,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=596,4454,Altas Temperaturas - Solicitar abordagem social a pessoa em situação de rua,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4454
,,,797,Denunciar LGBTFOBIA,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=797
,,,796,Denunciar negligência e abandono de criança ou adolescente,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=796
,,,792,Denunciar negligência e abandono de pessoa idosa,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=792
,,,800,Denunciar violação de direitos cometidos durante a ditadura,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=800
,,,2461,Leve Leite - Cadastro,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2461
,,,1756,Leve Leite - Consultar entrega do leite,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1756
,,,1757,Leve Leite - Reclamação da qualidade do leite,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1757
594,Documentos e licenças,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=594,4082,Procedimento Judicial - Protocolar decisão judicial,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4082
,,,932,Serviço de Informação ao Cidadão e Cidadã (SIC),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=932
,,,3994,Solicitar Certidão de Desapropriação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3994
,,,3993,Solicitar Certidão de Diretrizes Hidráulicas e Faixas Não Edificáveis,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3993
,,,3992,Solicitar Certidão de Melhoramento Viário e/ou cópia digital da Planta de Melhoramento Viário,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3992
,,,3624,Solicitar certidão de auto de multa de imóvel,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3624
,,,3625,Solicitar certidão de numeração e denominação de imóveis,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3625
,,,3995,Solicitar cópia de planta expropriatória (desapropriação),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3995
609,Medicamento de controle especial,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=609,,,
602,LGBTI,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=602,,,
604,"Trabalho escravo, exploração sexual e tráfico de pessoas",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=604,,,
601,Criança e adolescente,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=601,,,
610,Condições sanitárias inadequadas,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=610,,,
603,Crimes contra a vida,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=603,,,
606,Translado/exumação de corpos,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=606,,,
608,Cadastro Municipal de Vigilância em Saúde - CMVS,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=608,,,
605,Serviço funerário,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=605,1106,Serviço Funerário - Velório e Sepultamento,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1106
,,,4073,Serviço Funerário - Gratuidade,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4073
,,,4068,Serviço Funerário - Aluguel de Câmara Fria (diária),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4068
,,,1109,Serviço Funerário - Cremação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1109
,,,4066,Serviço Funerário - Cessão de gaveta para sepultamento a prazo fixo,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4066
,,,4065,Serviço Funerário - Utilização de Jazigo Familiar para Sepultamento,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4065
,,,4061,Serviço Funerário - Exumação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4061
,,,4064,Serviço Funerário - Aquisição de ossuário para guardar os restos mortais,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=4064
607,Saúde,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=607,3640,Distribuidoras e Indústrias - Entregar Balanços e Relações Mensais de Vendas da Portaria 344/98,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3640
